Mximo;Mnimo;Media;Fechamximo;Fechamnimo;fecha
613;428,097;537;2005-02-1523:00:00;2005-02-15-00:00:00;2005-02-15-00:00:00
644;612,927;630;2005-02-1620:00:00;2005-02-16-00:00:00;2005-02-16-00:00:00
644;438,365;545;2005-02-17-00:00:00;2005-02-1723:15:00;2005-02-17-00:00:00
433;340,816;378;2005-02-18-00:00:00;2005-02-1817:15:00;2005-02-18-00:00:00
341;284,34;311;2005-02-1906:30:00;2005-02-1919:30:00;2005-02-19-00:00:00
382;279,206;310;2005-02-2023:45:00;2005-02-2004:30:00;2005-02-20-00:00:00
649;387,023;551;2005-02-2123:45:00;2005-02-21-00:00:00;2005-02-21-00:00:00
660;546,183;633;2005-02-2204:30:00;2005-02-2223:45:00;2005-02-22-00:00:00
546;402,426;472;2005-02-23-00:00:00;2005-02-2318:15:00;2005-02-23-00:00:00
413;356,218;386;2005-02-24-00:00:00;2005-02-2408:00:00;2005-02-24-00:00:00
361;325,413;341;2005-02-25-00:00:00;2005-02-2523:45:00;2005-02-25-00:00:00
325;253,535;302;2005-02-26-00:00:00;2005-02-2617:45:00;2005-02-26-00:00:00
289;243,267;272;2005-02-27-00:00:00;2005-02-2722:00:00;2005-02-27-00:00:00
243;227,864;233;2005-02-28-00:00:00;2005-02-2809:30:00;2005-02-28-00:00:00
243;227,864;236;2005-03-0106:30:00;2005-03-0123:15:00;2005-03-01-00:00:00
228;202,193;217;2005-03-02-00:00:00;2005-03-0217:00:00;2005-03-02-00:00:00
207;186,791;198;2005-03-03-00:00:00;2005-03-0317:15:00;2005-03-03-00:00:00
202;120,047;178;2005-03-0419:00:00;2005-03-0417:30:00;2005-03-04-00:00:00
192;155,986;173;2005-03-0503:30:00;2005-03-0502:45:00;2005-03-05-00:00:00
289;171,388;197;2005-03-0623:30:00;2005-03-0600:45:00;2005-03-06-00:00:00
408;294,608;356;2005-03-0721:00:00;2005-03-07-00:00:00;2005-03-07-00:00:00
413;304,877;356;2005-03-0800:15:00;2005-03-0823:45:00;2005-03-08-00:00:00
305;258,669;277;2005-03-09-00:00:00;2005-03-0917:15:00;2005-03-09-00:00:00
