Acumulado;Fechaacumulado;fecha
55,367;1997-04-3008:00:00;1997-04-30-00:00:00
55,068;1997-05-0108:00:00;1997-05-01-00:00:00
54,771;1997-05-0208:00:00;1997-05-02-00:00:00
54,474;1997-05-0308:00:00;1997-05-03-00:00:00
54,179;1997-05-0408:00:00;1997-05-04-00:00:00
53,927;1997-05-0508:00:00;1997-05-05-00:00:00
53,676;1997-05-0608:00:00;1997-05-06-00:00:00
53,509;1997-05-0708:00:00;1997-05-07-00:00:00
53,384;1997-05-0808:00:00;1997-05-08-00:00:00
53,238;1997-05-0908:00:00;1997-05-09-00:00:00
53,072;1997-05-1008:00:00;1997-05-10-00:00:00
52,907;1997-05-1108:00:00;1997-05-11-00:00:00
52,721;1997-05-1208:00:00;1997-05-12-00:00:00
52,535;1997-05-1308:00:00;1997-05-13-00:00:00
52,494;1997-05-1408:00:00;1997-05-14-00:00:00
52,597;1997-05-1508:00:00;1997-05-15-00:00:00
52,617;1997-05-1608:00:00;1997-05-16-00:00:00
52,617;1997-05-1708:00:00;1997-05-17-00:00:00
52,741;1997-05-1808:00:00;1997-05-18-00:00:00
52,824;1997-05-1908:00:00;1997-05-19-00:00:00
53,093;1997-05-2008:00:00;1997-05-20-00:00:00
53,405;1997-05-2108:00:00;1997-05-21-00:00:00
53,634;1997-05-2208:00:00;1997-05-22-00:00:00
53,781;1997-05-2308:00:00;1997-05-23-00:00:00
53,885;1997-05-2408:00:00;1997-05-24-00:00:00
53,948;1997-05-2508:00:00;1997-05-25-00:00:00
54,011;1997-05-2608:00:00;1997-05-26-00:00:00
54,074;1997-05-2708:00:00;1997-05-27-00:00:00
54,074;1997-05-2808:00:00;1997-05-28-00:00:00
54,074;1997-05-2908:00:00;1997-05-29-00:00:00
54,095;1997-05-3008:00:00;1997-05-30-00:00:00
53,843;1997-05-3108:00:00;1997-05-31-00:00:00
53,801;1997-06-0108:00:00;1997-06-01-00:00:00
55,474;1997-06-0208:00:00;1997-06-02-00:00:00
56,79;1997-06-0308:00:00;1997-06-03-00:00:00
57,952;1997-06-0408:00:00;1997-06-04-00:00:00
58,952;1997-06-0508:00:00;1997-06-05-00:00:00
59,784;1997-06-0608:00:00;1997-06-06-00:00:00
60,443;1997-06-0708:00:00;1997-06-07-00:00:00
60,9;1997-06-0808:00:00;1997-06-08-00:00:00
61,29;1997-06-0908:00:00;1997-06-09-00:00:00
61,613;1997-06-1008:00:00;1997-06-10-00:00:00
61,891;1997-06-1108:00:00;1997-06-11-00:00:00
62,101;1997-06-1208:00:00;1997-06-12-00:00:00
62,287;1997-06-1308:00:00;1997-06-13-00:00:00
62,427;1997-06-1408:00:00;1997-06-14-00:00:00
62,544;1997-06-1508:00:00;1997-06-15-00:00:00
62,638;1997-06-1608:00:00;1997-06-16-00:00:00
62,684;1997-06-1708:00:00;1997-06-17-00:00:00
62,684;1997-06-1808:00:00;1997-06-18-00:00:00
62,661;1997-06-1908:00:00;1997-06-19-00:00:00
62,614;1997-06-2008:00:00;1997-06-20-00:00:00
62,52;1997-06-2108:00:00;1997-06-21-00:00:00
62,404;1997-06-2208:00:00;1997-06-22-00:00:00
62,287;1997-06-2308:00:00;1997-06-23-00:00:00
62,077;1997-06-2408:00:00;1997-06-24-00:00:00
61,799;1997-06-2508:00:00;1997-06-25-00:00:00
61,521;1997-06-2608:00:00;1997-06-26-00:00:00
61,244;1997-06-2708:00:00;1997-06-27-00:00:00
60,946;1997-06-2808:00:00;1997-06-28-00:00:00
60,762;1997-06-2908:00:00;1997-06-29-00:00:00
60,579;1997-06-3008:00:00;1997-06-30-00:00:00
60,306;1997-07-0108:00:00;1997-07-01-00:00:00
60,101;1997-07-0208:00:00;1997-07-02-00:00:00
59,988;1997-07-0308:00:00;1997-07-03-00:00:00
59,446;1997-07-0608:00:00;1997-07-06-00:00:00
59,244;1997-07-0708:00:00;1997-07-07-00:00:00
59,042;1997-07-0808:00:00;1997-07-08-00:00:00
58,885;1997-07-0908:00:00;1997-07-09-00:00:00
58,729;1997-07-1008:00:00;1997-07-10-00:00:00
58,551;1997-07-1108:00:00;1997-07-11-00:00:00
58,373;1997-07-1208:00:00;1997-07-12-00:00:00
58,173;1997-07-1308:00:00;1997-07-13-00:00:00
57,974;1997-07-1408:00:00;1997-07-14-00:00:00
57,753;1997-07-1508:00:00;1997-07-15-00:00:00
58,062;1997-08-0408:00:00;1997-08-04-00:00:00
57,864;1997-08-0508:00:00;1997-08-05-00:00:00
56,334;1997-08-1108:00:00;1997-08-11-00:00:00
56,053;1997-08-1208:00:00;1997-08-12-00:00:00
55,774;1997-08-1308:00:00;1997-08-13-00:00:00
54,095;1997-08-1808:00:00;1997-08-18-00:00:00
53,718;1997-08-1908:00:00;1997-08-19-00:00:00
53,301;1997-08-2008:00:00;1997-08-20-00:00:00
52,927;1997-08-2108:00:00;1997-08-21-00:00:00
52,494;1997-08-2208:00:00;1997-08-22-00:00:00
52,042;1997-08-2308:00:00;1997-08-23-00:00:00
51,614;1997-08-2408:00:00;1997-08-24-00:00:00
51,168;1997-08-2508:00:00;1997-08-25-00:00:00
50,765;1997-08-2608:00:00;1997-08-26-00:00:00
50,324;1997-08-2708:00:00;1997-08-27-00:00:00
50,204;1997-08-2808:00:00;1997-08-28-00:00:00
50,204;1997-08-2908:00:00;1997-08-29-00:00:00
50,204;1997-08-3008:00:00;1997-08-30-00:00:00
49,233;1997-08-3108:00:00;1997-08-31-00:00:00
48,801;1997-09-0108:00:00;1997-09-01-00:00:00
48,547;1997-09-0208:00:00;1997-09-02-00:00:00
48,294;1997-09-0308:00:00;1997-09-03-00:00:00
47,983;1997-09-0408:00:00;1997-09-04-00:00:00
47,655;1997-09-0508:00:00;1997-09-05-00:00:00
47,309;1997-09-0608:00:00;1997-09-06-00:00:00
46,946;1997-09-0708:00:00;1997-09-07-00:00:00
46,565;1997-09-0808:00:00;1997-09-08-00:00:00
46,205;1997-09-0908:00:00;1997-09-09-00:00:00
45,885;1997-09-1008:00:00;1997-09-10-00:00:00
45,51;1997-09-1108:00:00;1997-09-11-00:00:00
45,119;1997-09-1208:00:00;1997-09-12-00:00:00
44,73;1997-09-1308:00:00;1997-09-13-00:00:00
44,324;1997-09-1408:00:00;1997-09-14-00:00:00
43,939;1997-09-1508:00:00;1997-09-15-00:00:00
43,538;1997-09-1608:00:00;1997-09-16-00:00:00
43,158;1997-09-1708:00:00;1997-09-17-00:00:00
42,762;1997-09-1808:00:00;1997-09-18-00:00:00
42,368;1997-09-1908:00:00;1997-09-19-00:00:00
41,958;1997-09-2008:00:00;1997-09-20-00:00:00
41,586;1997-09-2108:00:00;1997-09-21-00:00:00
41,199;1997-09-2208:00:00;1997-09-22-00:00:00
38,098;1997-10-0108:00:00;1997-10-01-00:00:00
37,831;1997-10-0208:00:00;1997-10-02-00:00:00
37,582;1997-10-0308:00:00;1997-10-03-00:00:00
37,333;1997-10-0408:00:00;1997-10-04-00:00:00
37,07;1997-10-0508:00:00;1997-10-05-00:00:00
36,823;1997-10-0608:00:00;1997-10-06-00:00:00
36,578;1997-10-0708:00:00;1997-10-07-00:00:00
36,334;1997-10-0808:00:00;1997-10-08-00:00:00
36,074;1997-10-0908:00:00;1997-10-09-00:00:00
35,816;1997-10-1008:00:00;1997-10-10-00:00:00
35,575;1997-10-1108:00:00;1997-10-11-00:00:00
35,318;1997-10-1208:00:00;1997-10-12-00:00:00
35,047;1997-10-1308:00:00;1997-10-13-00:00:00
34,825;1997-10-1408:00:00;1997-10-14-00:00:00
34,825;1997-10-1508:00:00;1997-10-15-00:00:00
34,825;1997-10-1608:00:00;1997-10-16-00:00:00
34,163;1997-10-1708:00:00;1997-10-17-00:00:00
33,928;1997-10-1808:00:00;1997-10-18-00:00:00
33,71;1997-10-1908:00:00;1997-10-19-00:00:00
33,493;1997-10-2008:00:00;1997-10-20-00:00:00
33,292;1997-10-2108:00:00;1997-10-21-00:00:00
33,076;1997-10-2208:00:00;1997-10-22-00:00:00
32,892;1997-10-2308:00:00;1997-10-23-00:00:00
32,693;1997-10-2408:00:00;1997-10-24-00:00:00
32,525;1997-10-2508:00:00;1997-10-25-00:00:00
32,343;1997-10-2608:00:00;1997-10-26-00:00:00
32,161;1997-10-2708:00:00;1997-10-27-00:00:00
32,04;1997-10-2808:00:00;1997-10-28-00:00:00
32,01;1997-10-2908:00:00;1997-10-29-00:00:00
31,889;1997-10-3008:00:00;1997-10-30-00:00:00
31,754;1997-10-3108:00:00;1997-10-31-00:00:00
31,604;1997-11-0108:00:00;1997-11-01-00:00:00
31,439;1997-11-0208:00:00;1997-11-02-00:00:00
31,29;1997-11-0308:00:00;1997-11-03-00:00:00
31,171;1997-11-0408:00:00;1997-11-04-00:00:00
31,141;1997-11-0508:00:00;1997-11-05-00:00:00
31,424;1997-11-0608:00:00;1997-11-06-00:00:00
32,161;1997-11-0708:00:00;1997-11-07-00:00:00
32,678;1997-11-0808:00:00;1997-11-08-00:00:00
34,226;1997-11-0908:00:00;1997-11-09-00:00:00
35,639;1997-11-1008:00:00;1997-11-10-00:00:00
42,905;1997-11-1408:00:00;1997-11-14-00:00:00
43,757;1997-11-1508:00:00;1997-11-15-00:00:00
44,508;1997-11-1608:00:00;1997-11-16-00:00:00
45,212;1997-11-1708:00:00;1997-11-17-00:00:00
45,791;1997-11-1808:00:00;1997-11-18-00:00:00
46,47;1997-11-1908:00:00;1997-11-19-00:00:00
47,098;1997-11-2008:00:00;1997-11-20-00:00:00
47,751;1997-11-2108:00:00;1997-11-21-00:00:00
48,274;1997-11-2208:00:00;1997-11-22-00:00:00
48,664;1997-11-2308:00:00;1997-11-23-00:00:00
48,997;1997-11-2408:00:00;1997-11-24-00:00:00
49,311;1997-11-2508:00:00;1997-11-25-00:00:00
49,786;1997-11-2608:00:00;1997-11-26-00:00:00
50,204;1997-11-2708:00:00;1997-11-27-00:00:00
51,513;1997-12-1408:00:00;1997-12-14-00:00:00
51,411;1997-12-1508:00:00;1997-12-15-00:00:00
51,289;1997-12-1608:00:00;1997-12-16-00:00:00
51,33;1997-12-1708:00:00;1997-12-17-00:00:00
57,139;1997-12-1808:00:00;1997-12-18-00:00:00
60,079;1997-12-1908:00:00;1997-12-19-00:00:00
59,333;1997-12-2008:00:00;1997-12-20-00:00:00
58,417;1997-12-2108:00:00;1997-12-21-00:00:00
58,04;1997-12-2208:00:00;1997-12-22-00:00:00
58,262;1997-12-2308:00:00;1997-12-23-00:00:00
58,107;1997-12-2408:00:00;1997-12-24-00:00:00
57,886;1997-12-2508:00:00;1997-12-25-00:00:00
57,687;1997-12-2608:00:00;1997-12-26-00:00:00
57,555;1997-12-2708:00:00;1997-12-27-00:00:00
57,38;1997-12-2808:00:00;1997-12-28-00:00:00
57,226;1997-12-2908:00:00;1997-12-29-00:00:00
57,03;1997-12-3008:00:00;1997-12-30-00:00:00
56,768;1997-12-3108:00:00;1997-12-31-00:00:00
56,529;1998-01-0108:00:00;1998-01-01-00:00:00
56,204;1998-01-0208:00:00;1998-01-02-00:00:00
55,967;1998-01-0308:00:00;1998-01-03-00:00:00
55,817;1998-01-0408:00:00;1998-01-04-00:00:00
56,01;1998-01-0508:00:00;1998-01-05-00:00:00
56,032;1998-01-0608:00:00;1998-01-06-00:00:00
55,903;1998-01-0708:00:00;1998-01-07-00:00:00
56,053;1998-01-0808:00:00;1998-01-08-00:00:00
56,204;1998-01-0908:00:00;1998-01-09-00:00:00
56,291;1998-01-1008:00:00;1998-01-10-00:00:00
56,334;1998-01-1108:00:00;1998-01-11-00:00:00
56,313;1998-01-1208:00:00;1998-01-12-00:00:00
56,308;1998-01-1308:00:00;1998-01-13-00:00:00
56,356;1998-01-1408:00:00;1998-01-14-00:00:00
56,313;1998-01-1508:00:00;1998-01-15-00:00:00
56,313;1998-01-1608:00:00;1998-01-16-00:00:00
56,313;1998-01-1708:00:00;1998-01-17-00:00:00
56,306;1998-01-1808:00:00;1998-01-18-00:00:00
56,291;1998-01-1908:00:00;1998-01-19-00:00:00
56,297;1998-01-2008:00:00;1998-01-20-00:00:00
56,464;1998-01-2108:00:00;1998-01-21-00:00:00
56,562;1998-01-2208:00:00;1998-01-22-00:00:00
56,638;1998-01-2308:00:00;1998-01-23-00:00:00
56,725;1998-01-2408:00:00;1998-01-24-00:00:00
56,768;1998-01-2508:00:00;1998-01-25-00:00:00
56,79;1998-01-2608:00:00;1998-01-26-00:00:00
56,812;1998-01-2708:00:00;1998-01-27-00:00:00
56,812;1998-01-2808:00:00;1998-01-28-00:00:00
56,529;1998-01-2908:00:00;1998-01-29-00:00:00
56,464;1998-01-3008:00:00;1998-01-30-00:00:00
56,442;1998-01-3108:00:00;1998-01-31-00:00:00
57,205;1998-02-1108:00:00;1998-02-11-00:00:00
57,27;1998-02-1208:00:00;1998-02-12-00:00:00
57,292;1998-02-1308:00:00;1998-02-13-00:00:00
57,336;1998-02-1408:00:00;1998-02-14-00:00:00
57,358;1998-02-1508:00:00;1998-02-15-00:00:00
57,38;1998-02-1608:00:00;1998-02-16-00:00:00
57,402;1998-02-1708:00:00;1998-02-17-00:00:00
57,402;1998-02-1808:00:00;1998-02-18-00:00:00
57,424;1998-02-1908:00:00;1998-02-19-00:00:00
57,446;1998-02-2008:00:00;1998-02-20-00:00:00
57,468;1998-02-2108:00:00;1998-02-21-00:00:00
57,511;1998-02-2208:00:00;1998-02-22-00:00:00
57,533;1998-02-2308:00:00;1998-02-23-00:00:00
57,555;1998-02-2408:00:00;1998-02-24-00:00:00
57,555;1998-02-2508:00:00;1998-02-25-00:00:00
57,555;1998-02-2608:00:00;1998-02-26-00:00:00
57,555;1998-02-2708:00:00;1998-02-27-00:00:00
57,555;1998-02-2808:00:00;1998-02-28-00:00:00
57,533;1998-03-0108:00:00;1998-03-01-00:00:00
57,511;1998-03-0208:00:00;1998-03-02-00:00:00
57,489;1998-03-0308:00:00;1998-03-03-00:00:00
57,468;1998-03-0408:00:00;1998-03-04-00:00:00
57,424;1998-03-0508:00:00;1998-03-05-00:00:00
57,402;1998-03-0608:00:00;1998-03-06-00:00:00
57,358;1998-03-0708:00:00;1998-03-07-00:00:00
57,336;1998-03-0808:00:00;1998-03-08-00:00:00
57,292;1998-03-0908:00:00;1998-03-09-00:00:00
57,248;1998-03-1008:00:00;1998-03-10-00:00:00
57,226;1998-03-1108:00:00;1998-03-11-00:00:00
57,205;1998-03-1208:00:00;1998-03-12-00:00:00
57,161;1998-03-1308:00:00;1998-03-13-00:00:00
57,139;1998-03-1408:00:00;1998-03-14-00:00:00
57,095;1998-03-1508:00:00;1998-03-15-00:00:00
57,073;1998-03-1608:00:00;1998-03-16-00:00:00
57,03;1998-03-1708:00:00;1998-03-17-00:00:00
56,986;1998-03-1808:00:00;1998-03-18-00:00:00
56,942;1998-03-1908:00:00;1998-03-19-00:00:00
56,899;1998-03-2008:00:00;1998-03-20-00:00:00
56,855;1998-03-2108:00:00;1998-03-21-00:00:00
56,812;1998-03-2208:00:00;1998-03-22-00:00:00
56,768;1998-03-2308:00:00;1998-03-23-00:00:00
56,725;1998-03-2408:00:00;1998-03-24-00:00:00
56,703;1998-03-2508:00:00;1998-03-25-00:00:00
56,638;1998-03-2608:00:00;1998-03-26-00:00:00
56,594;1998-03-2708:00:00;1998-03-27-00:00:00
56,529;1998-03-2808:00:00;1998-03-28-00:00:00
56,486;1998-03-2908:00:00;1998-03-29-00:00:00
56,486;1998-03-3008:00:00;1998-03-30-00:00:00
56,486;1998-03-3108:00:00;1998-03-31-00:00:00
56,486;1998-04-0108:00:00;1998-04-01-00:00:00
56,486;1998-04-0208:00:00;1998-04-02-00:00:00
57,511;1998-04-0308:00:00;1998-04-03-00:00:00
58,306;1998-04-0408:00:00;1998-04-04-00:00:00
59,019;1998-04-0508:00:00;1998-04-05-00:00:00
59,739;1998-04-0608:00:00;1998-04-06-00:00:00
62,287;1998-04-1208:00:00;1998-04-12-00:00:00
61,961;1998-04-1308:00:00;1998-04-13-00:00:00
61,891;1998-04-1408:00:00;1998-04-14-00:00:00
62,101;1998-04-1508:00:00;1998-04-15-00:00:00
62,45;1998-04-1608:00:00;1998-04-16-00:00:00
63,037;1998-04-1708:00:00;1998-04-17-00:00:00
63,202;1998-04-1808:00:00;1998-04-18-00:00:00
63,131;1998-04-1908:00:00;1998-04-19-00:00:00
62,966;1998-04-2008:00:00;1998-04-20-00:00:00
63,343;1998-04-2108:00:00;1998-04-21-00:00:00
63,817;1998-04-2208:00:00;1998-04-22-00:00:00
64,413;1998-04-2308:00:00;1998-04-23-00:00:00
64,509;1998-04-2408:00:00;1998-04-24-00:00:00
64,581;1998-04-2508:00:00;1998-04-25-00:00:00
64,629;1998-04-2608:00:00;1998-04-26-00:00:00
64,629;1998-04-2708:00:00;1998-04-27-00:00:00
64,485;1998-04-2808:00:00;1998-04-28-00:00:00
64,246;1998-04-2908:00:00;1998-04-29-00:00:00
64,246;1998-04-3008:00:00;1998-04-30-00:00:00
64,198;1998-05-0108:00:00;1998-05-01-00:00:00
64,198;1998-05-0208:00:00;1998-05-02-00:00:00
64,174;1998-05-0308:00:00;1998-05-03-00:00:00
64,126;1998-05-0408:00:00;1998-05-04-00:00:00
64,126;1998-05-0508:00:00;1998-05-05-00:00:00
64,055;1998-05-0608:00:00;1998-05-06-00:00:00
63,912;1998-05-0708:00:00;1998-05-07-00:00:00
64,055;1998-05-0808:00:00;1998-05-08-00:00:00
64,246;1998-05-0908:00:00;1998-05-09-00:00:00
64,437;1998-05-1008:00:00;1998-05-10-00:00:00
64,581;1998-05-1108:00:00;1998-05-11-00:00:00
64,749;1998-05-1208:00:00;1998-05-12-00:00:00
64,797;1998-05-1308:00:00;1998-05-13-00:00:00
64,845;1998-05-1408:00:00;1998-05-14-00:00:00
64,893;1998-05-1508:00:00;1998-05-15-00:00:00
64,941;1998-05-1608:00:00;1998-05-16-00:00:00
64,917;1998-05-1708:00:00;1998-05-17-00:00:00
64,869;1998-05-1808:00:00;1998-05-18-00:00:00
64,797;1998-05-1908:00:00;1998-05-19-00:00:00
64,725;1998-05-2008:00:00;1998-05-20-00:00:00
64,653;1998-05-2108:00:00;1998-05-21-00:00:00
64,629;1998-05-2208:00:00;1998-05-22-00:00:00
64,605;1998-05-2308:00:00;1998-05-23-00:00:00
64,557;1998-05-2408:00:00;1998-05-24-00:00:00
64,533;1998-05-2508:00:00;1998-05-25-00:00:00
64,461;1998-05-2608:00:00;1998-05-26-00:00:00
64,413;1998-05-2708:00:00;1998-05-27-00:00:00
64,341;1998-05-2808:00:00;1998-05-28-00:00:00
64,27;1998-05-2908:00:00;1998-05-29-00:00:00
64,413;1998-05-3008:00:00;1998-05-30-00:00:00
64,677;1998-05-3108:00:00;1998-05-31-00:00:00
64,869;1998-06-0108:00:00;1998-06-01-00:00:00
65,594;1998-06-0208:00:00;1998-06-02-00:00:00
66,057;1998-06-0308:00:00;1998-06-03-00:00:00
66,301;1998-06-0408:00:00;1998-06-04-00:00:00
66,399;1998-06-0508:00:00;1998-06-05-00:00:00
66,301;1998-06-0608:00:00;1998-06-06-00:00:00
66,179;1998-06-0708:00:00;1998-06-07-00:00:00
65,959;1998-06-0808:00:00;1998-06-08-00:00:00
65,692;1998-06-0908:00:00;1998-06-09-00:00:00
65,352;1998-06-1008:00:00;1998-06-10-00:00:00
65,255;1998-06-1108:00:00;1998-06-11-00:00:00
65,183;1998-06-1208:00:00;1998-06-12-00:00:00
64,99;1998-06-1308:00:00;1998-06-13-00:00:00
64,869;1998-06-1408:00:00;1998-06-14-00:00:00
64,725;1998-06-1508:00:00;1998-06-15-00:00:00
64,581;1998-06-1608:00:00;1998-06-16-00:00:00
64,437;1998-06-1708:00:00;1998-06-17-00:00:00
64,27;1998-06-1808:00:00;1998-06-18-00:00:00
63,984;1998-06-1908:00:00;1998-06-19-00:00:00
63,698;1998-06-2008:00:00;1998-06-20-00:00:00
63,367;1998-06-2108:00:00;1998-06-21-00:00:00
63,037;1998-06-2208:00:00;1998-06-22-00:00:00
62,731;1998-06-2308:00:00;1998-06-23-00:00:00
62,38;1998-06-2408:00:00;1998-06-24-00:00:00
62,054;1998-06-2508:00:00;1998-06-25-00:00:00
61,683;1998-06-2608:00:00;1998-06-26-00:00:00
59,176;1998-07-0408:00:00;1998-07-04-00:00:00
58,818;1998-07-0508:00:00;1998-07-05-00:00:00
58,462;1998-07-0608:00:00;1998-07-06-00:00:00
58,062;1998-07-0708:00:00;1998-07-07-00:00:00
57,687;1998-07-0808:00:00;1998-07-08-00:00:00
57,292;1998-07-0908:00:00;1998-07-09-00:00:00
56,855;1998-07-1008:00:00;1998-07-10-00:00:00
56,399;1998-07-1108:00:00;1998-07-11-00:00:00
55,946;1998-07-1208:00:00;1998-07-12-00:00:00
55,495;1998-07-1308:00:00;1998-07-13-00:00:00
55,047;1998-07-1408:00:00;1998-07-14-00:00:00
54,622;1998-07-1508:00:00;1998-07-15-00:00:00
54,179;1998-07-1608:00:00;1998-07-16-00:00:00
53,718;1998-07-1708:00:00;1998-07-17-00:00:00
53,238;1998-07-1808:00:00;1998-07-18-00:00:00
52,782;1998-07-1908:00:00;1998-07-19-00:00:00
52,309;1998-07-2008:00:00;1998-07-20-00:00:00
51,818;1998-07-2108:00:00;1998-07-21-00:00:00
51,35;1998-07-2208:00:00;1998-07-22-00:00:00
50,926;1998-07-2308:00:00;1998-07-23-00:00:00
50,324;1998-07-2408:00:00;1998-07-24-00:00:00
49,766;1998-07-2508:00:00;1998-07-25-00:00:00
49,252;1998-07-2608:00:00;1998-07-26-00:00:00
48,722;1998-07-2708:00:00;1998-07-27-00:00:00
46,149;1998-08-0108:00:00;1998-08-01-00:00:00
45,641;1998-08-0208:00:00;1998-08-02-00:00:00
45,137;1998-08-0308:00:00;1998-08-03-00:00:00
44,619;1998-08-0408:00:00;1998-08-04-00:00:00
44,141;1998-08-0508:00:00;1998-08-05-00:00:00
43,684;1998-08-0608:00:00;1998-08-06-00:00:00
43,212;1998-08-0708:00:00;1998-08-07-00:00:00
42,744;1998-08-0808:00:00;1998-08-08-00:00:00
42,296;1998-08-0908:00:00;1998-08-09-00:00:00
41,816;1998-08-1008:00:00;1998-08-10-00:00:00
41,357;1998-08-1108:00:00;1998-08-11-00:00:00
40,902;1998-08-1208:00:00;1998-08-12-00:00:00
40,432;1998-08-1308:00:00;1998-08-13-00:00:00
39,982;1998-08-1408:00:00;1998-08-14-00:00:00
39,536;1998-08-1508:00:00;1998-08-15-00:00:00
39,11;1998-08-1608:00:00;1998-08-16-00:00:00
38,652;1998-08-1708:00:00;1998-08-17-00:00:00
38,165;1998-08-1808:00:00;1998-08-18-00:00:00
37,748;1998-08-1908:00:00;1998-08-19-00:00:00
37,284;1998-08-2008:00:00;1998-08-20-00:00:00
36,823;1998-08-2108:00:00;1998-08-21-00:00:00
36,35;1998-08-2208:00:00;1998-08-22-00:00:00
35,88;1998-08-2308:00:00;1998-08-23-00:00:00
35,414;1998-08-2408:00:00;1998-08-24-00:00:00
34,936;1998-08-2508:00:00;1998-08-25-00:00:00
34,493;1998-08-2608:00:00;1998-08-26-00:00:00
34,038;1998-08-2708:00:00;1998-08-27-00:00:00
33,57;1998-08-2808:00:00;1998-08-28-00:00:00
33,091;1998-08-2908:00:00;1998-08-29-00:00:00
32,632;1998-08-3008:00:00;1998-08-30-00:00:00
32,191;1998-08-3108:00:00;1998-08-31-00:00:00
31,739;1998-09-0108:00:00;1998-09-01-00:00:00
31,171;1998-09-0208:00:00;1998-09-02-00:00:00
30,756;1998-09-0308:00:00;1998-09-03-00:00:00
30,33;1998-09-0408:00:00;1998-09-04-00:00:00
29,922;1998-09-0508:00:00;1998-09-05-00:00:00
29,517;1998-09-0608:00:00;1998-09-06-00:00:00
29,101;1998-09-0708:00:00;1998-09-07-00:00:00
28,717;1998-09-0808:00:00;1998-09-08-00:00:00
28,363;1998-09-0908:00:00;1998-09-09-00:00:00
27,97;1998-09-1008:00:00;1998-09-10-00:00:00
27,608;1998-09-1108:00:00;1998-09-11-00:00:00
27,235;1998-09-1208:00:00;1998-09-12-00:00:00
26,865;1998-09-1308:00:00;1998-09-13-00:00:00
26,498;1998-09-1408:00:00;1998-09-14-00:00:00
26,12;1998-09-1508:00:00;1998-09-15-00:00:00
25,771;1998-09-1608:00:00;1998-09-16-00:00:00
25,426;1998-09-1708:00:00;1998-09-17-00:00:00
25,069;1998-09-1808:00:00;1998-09-18-00:00:00
24,729;1998-09-1908:00:00;1998-09-19-00:00:00
24,391;1998-09-2008:00:00;1998-09-20-00:00:00
24,043;1998-09-2108:00:00;1998-09-21-00:00:00
23,71;1998-09-2208:00:00;1998-09-22-00:00:00
23,406;1998-09-2308:00:00;1998-09-23-00:00:00
23,141;1998-09-2408:00:00;1998-09-24-00:00:00
22,89;1998-09-2508:00:00;1998-09-25-00:00:00
22,678;1998-09-2608:00:00;1998-09-26-00:00:00
22,492;1998-09-2708:00:00;1998-09-27-00:00:00
22,27;1998-09-2808:00:00;1998-09-28-00:00:00
22,037;1998-09-2908:00:00;1998-09-29-00:00:00
