day_cos,day_sin,Arroyo,Calatayud,Mendavia,Miranda,castejon,palazuelos,ebro,mansilla,tranquera,yesa,caudal_arroyo,caudal_calatayud,caudal_mendavia,caudal_miranda,caudal_castejon,caudal_palazuelos,pred
0.4520722039323043,0.8919813464595485,1.44,7.56,829.2,464.5,5.41,6.4,491.616,65.497,52.824,405.798,1.44,7.56,829.2,464.5,1254.0,454.58,3.87
0.8039279618328213,0.5947266869607633,1.37,4.84,384.1,212.8,5.52,4.19,314.124,60.602,28.469,394.631,1.37,4.84,384.1,212.8,1048.0,219.38,3.33
-0.2177232303965317,0.9760105506323684,1.12,22.66,516.2,180.6,6.6,2.98,411.532,59.626,35.741,415.805,1.12,22.66,516.2,180.6,1729.0,113.88,5.3
0.2428497220959358,0.970063921851507,1.03,33.73,357.2,86.5,5.59,1.95,428.542,61.521,75.577,400.673,1.03,33.73,357.2,86.5,1061.0,38.13,3.04
0.9088176373395028,-0.4171936026123169,1.32,4.32,546.2,245.9,5.53,4.34,149.012,45.566,23.32,289.138,1.32,4.32,546.2,245.9,1309.0,234.47,4.28
0.7146733860429609,0.6994583270516471,40.19,9.97,418.6,187.1,5.57,3.25,521.508,60.033,75.215,393.856,40.19,9.97,418.6,187.1,1156.0,135.86,4.23
-0.2344913895704096,0.9721181966290612,1.18,14.82,406.4,150.1,5.95,2.62,412.656,59.401,36.54,406.393,1.18,14.82,406.4,150.1,1318.0,84.51,5.1
-0.8287700871745035,0.5595892624101769,1.1,6.02,278.2,109.5,5.17,2.23,453.46,64.725,66.455,410.176,1.1,6.02,278.2,109.5,1013.0,56.3,3.03
0.8429415373547828,0.5380051715382996,1.18,5.6,879.9,292.9,7.1,4.3,443.535,58.975,53.392,319.055,1.18,5.6,879.9,292.9,2093.0,230.01,4.63
0.1415402952170432,0.989932495087353,13.43,33.06,544.8,175.5,5.61,2.95,493.431,60.079,61.232,372.666,13.43,33.06,544.8,175.5,1147.0,112.89,3.15
0.3896304495307879,0.9209712877166346,1.37,11.88,371.5,139.7,5.29,2.61,405.932,62.474,32.414,385.421,1.37,11.88,371.5,139.7,947.0,84.05,3.25
0.0043035382962442,0.99999073973619,1.43,11.41,548.9,195.3,6.15,3.2,459.932,61.037,36.715,381.069,1.43,11.41,548.9,195.3,1352.0,131.89,4.5
0.9523775757303976,0.304921224656289,1.32,4.15,634.2,268.4,6.35,5.0,247.768,41.728,26.175,362.957,1.32,4.15,634.2,268.4,1451.0,301.29,4.19
0.3896304495307879,0.9209712877166346,1.19,5.68,443.5,233.2,5.53,3.56,282.015,62.802,42.996,405.996,1.19,5.68,443.5,233.2,1171.0,163.16,3.08
0.6387494220515272,0.7694148268839378,28.02,5.35,497.6,269.8,5.49,4.17,486.181,60.42,56.147,379.001,28.02,5.35,497.6,269.8,1077.0,217.14,4.13
0.9226395488404876,-0.3856634062436074,1.48,7.5,550.5,360.3,5.6,5.64,282.966,33.045,40.614,90.871,1.48,7.5,550.5,360.3,1064.0,367.78,3.34
0.3090169943749474,0.9510565162951536,1.28,5.58,448.3,224.7,5.24,3.36,427.398,58.395,57.417,398.13,1.28,5.58,448.3,224.7,958.0,145.49,3.58
0.5842981736283684,0.811539059007361,40.01,5.31,722.5,419.9,6.07,5.74,497.069,60.079,56.78,376.756,40.01,5.31,722.5,419.9,1391.0,377.7,4.0
0.901501684131884,0.4327755925504312,31.64,10.32,304.6,133.9,4.94,2.56,519.052,59.807,73.104,376.01,31.64,10.32,304.6,133.9,872.0,80.29,3.14
