day_cos,day_sin,aforo_Arroyo,aforo_Calatayud,aforo_Mendavia,aforo_Miranda,aforo_castejon,aforo_palazuelos,caudal_arroyo,caudal_calatayud,caudal_mendavia,caudal_miranda,caudal_castejon,caudal_palazuelos,pred
-0.9259247771938499,-0.37770796520396466,34.8,9.16,51.8,46.2,1.75,0.97,34.8,9.16,51.8,46.2,71.0,3.86,0.81
-0.9192859697186104,-0.3935902766564669,35.09,9.55,63.1,47.5,1.74,0.96,35.09,9.55,63.1,47.5,70.0,3.52,0.81
-0.9123747579707273,-0.40935595881562153,35.14,9.65,61.9,41.8,1.75,0.94,35.14,9.65,61.9,41.8,72.0,3.23,0.78
-0.9051931898913975,-0.42500033996955394,35.4,9.68,52.1,39.9,1.69,0.88,35.4,9.68,52.1,39.9,66.0,2.48,0.78
-0.8977433935342338,-0.4405187843504948,35.24,9.54,55.1,39.8,1.62,0.79,35.24,9.54,55.1,39.8,59.0,1.55,0.73
-0.8900275764346768,-0.4559066935084586,35.38,9.33,52.5,39.0,1.58,0.9,35.38,9.33,52.5,39.0,55.0,2.59,0.71
-0.8820480249558538,-0.47115950767386355,35.43,10.42,50.4,46.3,1.55,0.9,35.43,10.42,50.4,46.3,52.0,2.6,0.68
-0.8738071036110809,-0.4862727071086898,35.56,10.45,57.8,42.1,1.59,0.9,35.56,10.45,57.8,42.1,56.0,2.56,0.69
-0.8653072543632061,-0.5012418134457756,35.58,10.61,52.0,42.0,1.71,0.88,35.58,10.61,52.0,42.0,68.0,2.37,0.77
-0.8565509959010037,-0.5160623910158526,29.21,10.24,51.8,44.2,1.7,0.86,29.21,10.24,51.8,44.2,67.0,2.16,0.79
-0.847540922892831,-0.5307300481619335,25.3,9.78,52.3,42.5,1.71,0.78,25.3,9.78,52.3,42.5,67.0,1.5,0.78
-0.8382797052177743,-0.5452404385406511,25.25,9.47,53.2,33.6,1.72,0.7,25.25,9.47,53.2,33.6,69.0,0.8,0.78
-0.8287700871745037,-0.5595892624101767,25.42,9.72,45.4,31.2,1.67,0.7,25.42,9.72,45.4,31.2,64.0,0.8,0.78
